Title,Alternative title,Id
Danganronpa: The Animation,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,30297
Dark Gathering,,37515
Darker than Black,,7858
Darker Than Black: Gemini of the Meteor,Darker Than Black: Ryuusei no Gemini,37550
DARLING in the FRANXX,,14375
Darwin's Game,,18926
Dasshu Kappei,Dash Kappei,11948
Date a Live,,29306
Date A Live II,,3867
Date a Live III,,18540
Date a Live IV,,29399
Date A Live V,,40803
Days,,13665
Dead Dead Demons Dededede Destruction,,41515
Dead Mount Death Play,,36273
Deadman Wonderland,,155
DearS,,11780
Death Note,,2580
Death Parade,,36858
Deca-Dence,,19560
Delicious in Dungeon,Dungeon Meshi,40140
Delicious Party Pretty Cure,Delicious Party Precure,30438
Delusional Monthly Magazine,Gekkan Mousou Kagaku,39645
Demashitaa! Powerpuff Girls Z,,11074
Demon Fighter Kocho OVA,,26449
"Demon Lord, Retry!","Maou-sama, Retry!",17221
Demon Slayer,Kimetsu no Yaiba,20538
Demon Slayer Mugen Train Arc,Kimetsu no Yaiba: Mugen Ressha Hen,27399
Demon Slayer: Entertainment District Arc,Kimetsu no Yaiba: Yuukaku Hen,27411
Demon Slayer: Kimetsu no Yaiba Hashira Training Arc,Kimetsu no Yaiba: Hashira Geiko-hen,41195
Demon Slayer: Swordsmith Village Arc,Kimetsu no Yaiba: Katanakaji no Sato-hen,36174
Denki-gai,,19250
Denki-Gai,Denkigai no Honya-san,1180
Dennou Coil,Den-noh Coil,36227
Detective Conan,Case Closed,34133
Devil Hunter Yohko,Mamono Hunter Youko,34381
Devil May Cry,,13549
Devilman (1972),,16748
Devilman: Crybaby,,27636
Devils and Realist,Makai Ouji: Devils and Realist,33458
Devils' Line,,15231
Diary of Our Days at the Breakwater,Houkago Teibou Nisshi,22384
Didn't I Say to Make My Abilities Average in the Next Life?!,"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",17981
Digimon Adventure,,12595
Digimon Adventure (2020),,25261
Digimon Adventure 02,,15296
Digimon Adventure Tri,,9312
Digimon Data Squad,Digimon Savers,39398
Digimon Frontier,,12274
Digimon Fusion,Digimon Xros Wars,39490
Digimon Ghost Game,,26453
Digimon Tamers,,10529
Digimon Universe: Appli Monsters,,13098
Dinosaur King,Kodai Ouja Kyouryuu King,40048
Dinosaur King D-Kids Adventure: Pterosaur Legend,Kodai Ouja Kyouryuu King: Yokuryuu Densetsu,40649
Dirty Pair Flash 1,,13837
Dirty Pair Flash 2,,13844
Dirty Pair Flash 3,,13850
Disgaea,Makai Senki Disgaea,25856
Divergence Eve,,12676
Divine Gate,,3626
DNA²,,13980
Do It Yourself!!,,33219
